GWIAZDA	jd	mag	idobs	kom
X SGE	2453542.4271	8.9	ZSI	M
U VUL	2453542.4285	7.4	ZSI	M
RS VUL	2453542.4292	7	ZSI	M
S SGE	2453542.4299	5.4	ZSI	M
AR LAC	2453542.4306	6.7	ZSI	M
EU DEL	2453542.4313	6.3	ZSI	M
U DEL	2453542.4326	6.6	ZSI	M
DM DEL	2453542.4333	8.7	ZSI	M
R SCT	2453542.4347	5.9	ZSI	M
SU CAS	2453542.4354	6	ZSI	M
RZ CAS	2453542.4361	6.4	ZSI	M
TV CAS	2453542.4368	7.3	ZSI	M
TU CAS	2453542.4375	8.2	ZSI	M
R CAS	2453542.4389	7.1	ZSI	M
S EQU	2453542.4403	8	ZSI	M
EE PEG	2453542.4410	6.9	ZSI	M
Y CVN	2453542.4431	5.9	ZSI	M
V CVN	2453542.4451	8.1	ZSI	M
TU CVN	2453542.4465	6	ZSI	M
ST UMA	2453542.4479	7.2	ZSI	M
AR LAC	2453542.4507	6.6	ZSI	M
R CRB	2453549.4063	5.8	ZSI	
DM DEL	2453549.4069	8.7	ZSI	
TX HER	2453549.4146	8.2	ZSI	
AF CYG	2453549.4160	6.5	ZSI	
ZZ BOO	2453549.4188	6.8	ZSI	
V BOO	2453549.4215	8	ZSI	
R SCT	2453549.4257	5.6	ZSI	
S SCT	2453549.4264	7.3	ZSI	
BETA LYR	2453549.4271	3.5	ZSI	
DELTA CEP	2453549.4278	4	ZSI	
DM DEL	2453549.4347	8.9	ZSI	
T VUL	2453549.4403	5.5	ZSI	
V VUL	2453549.4410	8.4	ZSI	
ETA AQL	2453549.4417	3.7	ZSI	
MY CYG	2453550.3701	8.3	ZSI	
BETA LYR	2453550.3708	3.6	ZSI	
RZ CAS	2453550.3722	6.4	ZSI	
SU CAS	2453550.3729	6.1	ZSI	
TU CAS	2453550.3736	7.9	ZSI	
TV CAS	2453550.3743	7.3	ZSI	
TX HER	2453550.3757	8.3	ZSI	
Y CYG	2453550.3778	7.8	ZSI	
AI DRA	2453550.3799	7.1	ZSI	
R CRB	2453550.3813	6	ZSI	
U CRB	2453550.3820	7.7	ZSI	
Y OPH	2453550.3840	6.2	ZSI	
EG AND	2453550.3854	7.5	ZSI	
DL CAS	2453550.3868	8.9	ZSI	
CH CYG	2453550.3903	8.2	ZSI	
R CYG	2453550.3924	8.3	ZSI	
RT CYG	2453550.3931	8	ZSI	
X CYG	2453550.3938	6.3	ZSI	
V568 CYG	2453550.3944	6.6	ZSI	
Z UMA	2453550.3965	7.9	ZSI	
AR LAC	2453550.3979	6.7	ZSI	
NSV 25832	2453550.3986	9	ZSI	
R LYR	2453550.4000	4.6	ZSI	
W BOO	2453550.4007	5.3	ZSI	
ZZ BOO	2453550.4014	6.7	ZSI	
V BOO	2453550.4028	8	ZSI	
T CRB	2453550.4042	10.3	ZSI	
Y CYG	2453550.4056	8	ZSI	
GO CYG	2453550.4063	8.6	ZSI	
V382 CYG	2453550.4111	8.5	ZSI	
U DEL	2453550.4118	6.4	ZSI	
EU DEL	2453550.4125	6.3	ZSI	
W DEL	2453550.4132	9.8	ZSI	
KP DEL	2453550.4153	8.6	ZSI	
S DEL	2453550.4160	9	ZSI	
R DEL	2453550.4167	9.4	ZSI	
DM DEL	2453550.4174	8.5	ZSI	
AR LAC	2453550.4181	6.4	ZSI	
T VUL	2453550.4250	6	ZSI	
U VUL	2453550.4257	7.7	ZSI	
Z VUL	2453550.4264	7.4	ZSI	
Y CYG	2453550.4271	7.8	ZSI	
R VUL	2453550.4299	9.3	ZSI	
W CYG	2453550.4319	6.3	ZSI	
V1339 CYG	2453550.4326	6.3	ZSI	
Z LAC	2453550.4465	8.4	ZSI	
X LAC	2453550.4472	8.2	ZSI	
V LAC	2453550.4479	8.9	ZSI	
X SGE	2453550.4507	8.9	ZSI	
S SGE	2453550.4514	5.4	ZSI	
EE PEG	2453550.4528	6.9	ZSI	
S EQU	2453550.4535	8	ZSI	
T CEP	2453550.4590	8.6	ZSI	
Y CYG	2453550.4604	7.7	ZSI	
AR LAC	2453550.4618	6.2	ZSI	
S CEP	2453550.4632	9	ZSI	
R CAS	2453550.4646	7.4	ZSI	
V CAS	2453550.4653	8.5	ZSI	
W CAS	2453550.4674	8.9	ZSI	
T UMA	2453550.4688	8.4	ZSI	
CHI CYG	2453550.4694	5.3	ZSI	
R CRB	2453555.3493	6	ZSI	
ZZ BOO	2453555.3500	6.7	ZSI	
AI DRA	2453555.3507	7.1	ZSI	
68U HER	2453555.3521	5.1	ZSI	
U CRB	2453555.3576	8.4	ZSI	
T HER	2453555.3611	8.3	ZSI	
AC HER	2453555.3625	7.4	ZSI	
X CYG	2453555.3660	7.1	ZSI	
V568 CYG	2453555.3667	6.6	ZSI	
GO CYG	2453555.3674	8.4	ZSI	
Y CYG	2453555.3681	7.2	ZSI	
V367 CYG	2453555.3688	7.2	ZSI	
AF CYG	2453555.3708	6.5	ZSI	
CH CYG	2453555.3715	7.9	ZSI	
RT CYG	2453555.3729	8.4	ZSI	
R CYG	2453555.3736	8.2	ZSI	
CHI CYG	2453555.3743	5.3	ZSI	
MY CYG	2453555.3764	8.3	ZSI	
68U HER	2453555.3799	5.42	ZSI	
RS CYG	2453555.3813	7.6	ZSI	
W CYG	2453555.3826	6.5	ZSI	
V1339 CYG	2453555.3833	6.6	ZSI	
U CRB	2453555.3861	8.6	ZSI	
R SCT	2453555.3882	5.2	ZSI	
Y OPH	2453555.3896	6	ZSI	
DM DEL	2453555.3910	8.9	ZSI	
GO CYG	2453555.3917	8.4	ZSI	
AR LAC	2453555.3958	6.2	ZSI	
Z UMA	2453555.4000	7.9	ZSI	
T UMA	2453555.4014	8.3	ZSI	
Z VUL	2453555.4021	7.3	ZSI	
U VUL	2453555.4028	7.4	ZSI	
68U HER	2453555.4049	5.29	ZSI	
T VUL	2453555.4076	6.2	ZSI	
V VUL	2453555.4090	8.6	ZSI	
U CRB	2453555.4104	8.6	ZSI	
BETA LYR	2453555.4111	3.5	ZSI	
DM DEL	2453555.4146	8.8	ZSI	
GO CYG	2453555.4153	8.5	ZSI	
S SGE	2453555.4160	5.9	ZSI	
RS VUL	2453555.4167	6.9	ZSI	
X VUL	2453555.4201	9	ZSI	
EE PEG	2453555.4229	6.8	ZSI	
AG PEG	2453555.4243	8.6	ZSI	
U DEL	2453555.4250	6.7	ZSI	
EU DEL	2453555.4257	6.7	ZSI	
68U HER	2453555.4278	5.05	ZSI	
S EQU	2453555.4306	8	ZSI	
TX DEL	2453555.4319	9.4	ZSI	
U CRB	2453555.4326	8.5	ZSI	
RZ CAS	2453555.4333	6.3	ZSI	
SU CAS	2453555.4340	6.2	ZSI	
TU CAS	2453555.4347	8	ZSI	
TV CAS	2453555.4354	7.3	ZSI	
DM DEL	2453555.4368	8.6	ZSI	
GO CYG	2453555.4375	8.5	ZSI	
X HER	2453555.4389	7.1	ZSI	
G HER	2453555.4396	5.4	ZSI	
Z LAC	2453555.4410	8.9	ZSI	
X LAC	2453555.4417	8.5	ZSI	
V LAC	2453555.4424	9.1	ZSI	
DELTA CEP	2453555.4431	4	ZSI	
S CEP	2453555.4451	8.9	ZSI	
T CEP	2453555.4465	8.4	ZSI	
ETA AQL	2453555.4486	3.7	ZSI	
68U HER	2453555.4521	5.01	ZSI	
U CRB	2453555.4535	8.6	ZSI	
R CAS	2453555.4556	7.4	ZSI	
DM DEL	2453555.4597	8.6	ZSI	
GO CYG	2453555.4604	8.5	ZSI	
RR LYR	2453555.4639	7.9	ZSI	
W CAS	2453555.4660	9.1	ZSI	
GAMMA CAS	2453555.4674	2.1	ZSI	
68U HER	2453555.4750	4.95	ZSI	
RR LYR	2453555.4764	7.8	ZSI	
U CRB	2453555.4778	8.5	ZSI	
TV PSC	2453555.4799	5.2	ZSI	
GO CYG	2453555.4819	8.5	ZSI	
RR LYR	2453555.4924	7.7	ZSI	
GO CYG	2453555.4993	8.6	ZSI	
U CRB	2453555.5007	8.4	ZSI	
68U HER	2453555.5021	4.85	ZSI	
ZZ BOO	2453556.3576	7	ZSI	
R CRB	2453556.3583	6	ZSI	
U CRB	2453556.3604	7.7	ZSI	
U SGE	2453556.3611	6.5	ZSI	
BETA LYR	2453556.3618	3.7	ZSI	
DELTA CEP	2453556.3625	4.1	ZSI	
X CYG	2453556.3632	7.1	ZSI	
GO CYG	2453556.3639	8.5	ZSI	
Y CYG	2453556.3646	7.7	ZSI	
T VUL	2453556.3653	5.2	ZSI	
Z VUL	2453556.3660	7.4	ZSI	
U VUL	2453556.3667	7.6	ZSI	
MY CYG	2453556.3674	8.3	ZSI	
P CYG	2453556.3681	4.8	ZSI	
AR LAC	2453556.3701	6.3	ZSI	
Y OPH	2453556.3764	6.2	ZSI	
U OPH	2453556.3771	5.8	ZSI	
TAU4 SER	2453556.3792	7	ZSI	
ALPHA HER	2453556.3799	3.3	ZSI	
U SGE	2453556.3847	6.7	ZSI	
Z CYG	2453556.3931	9.5	ZSI	
S EQU	2453556.3951	8	ZSI	
TX DEL	2453556.3958	9.4	ZSI	
Z LAC	2453556.4021	9.1	ZSI	
RR LAC	2453556.4028	8.4	ZSI	
X LAC	2453556.4035	8.2	ZSI	
V LAC	2453556.4042	9.4	ZSI	
Y CYG	2453556.4049	7.9	ZSI	
SS CYG	2453556.4104	9.9	ZSI	
U SGE	2453556.4125	6.9	ZSI	
ETA AQL	2453556.4146	4.2	ZSI	
RZ CAS	2453556.4153	6.3	ZSI	
SU CAS	2453556.4160	6	ZSI	
TU CAS	2453556.4167	7.3	ZSI	
TV CAS	2453556.4174	7.3	ZSI	
DM DEL	2453556.4208	8.5	ZSI	
U SGE	2453556.4278	7	ZSI	
R AQL	2453556.4319	9.2	ZSI	
U SGE	2453556.4424	7.2	ZSI	
U SGE	2453556.4604	7.5	ZSI	
U SGE	2453556.4757	7.7	ZSI	
SS CYG	2453556.4896	9.7	ZSI	
U SGE	2453556.4910	8	ZSI	
R CRB	2453559.3542	6	ZSI	
ZZ BOO	2453559.3549	6.7	ZSI	
AI DRA	2453559.3556	7	ZSI	
CHI CYG	2453559.3583	5.4	ZSI	
X CYG	2453559.3597	6.9	ZSI	
GO CYG	2453559.3604	8.4	ZSI	
U SGE	2453559.3625	6.3	ZSI	
S SGE	2453559.3632	5.3	ZSI	
MY CYG	2453559.3646	8.3	ZSI	
BETA LYR	2453559.3660	4	ZSI	
DELTA CEP	2453559.3674	3.9	ZSI	
Y CYG	2453559.3681	7.6	ZSI	
Z VUL	2453559.3688	7.3	ZSI	
U VUL	2453559.3694	7.7	ZSI	
X SGE	2453559.3701	8.8	ZSI	
T VUL	2453559.3715	6	ZSI	
V VUL	2453559.3729	8.9	ZSI	
R SCT	2453559.3743	5.1	ZSI	
DM DEL	2453559.3785	8.5	ZSI	
SS CYG	2453559.3806	8.8	ZSI	
AR LAC	2453559.3813	6.1	ZSI	
Y OPH	2453559.3826	6.4	ZSI	
U OPH	2453559.3833	5.9	ZSI	
Z UMA	2453559.3854	7.8	ZSI	
RZ CAS	2453559.3868	6.3	ZSI	
SU CAS	2453559.3875	6.2	ZSI	
TU CAS	2453559.3882	7.9	ZSI	
TV CAS	2453559.3889	7.3	ZSI	
T CEP	2453559.3903	8.3	ZSI	
VV CEP	2453559.3910	5.4	ZSI	
MIU CEP	2453559.3917	4.1	ZSI	
ETA AQL	2453559.3938	3.8	ZSI	
Z LAC	2453559.3993	8.3	ZSI	
RR LAC	2453559.4000	9.2	ZSI	
X LAC	2453559.4014	8.6	ZSI	
V LAC	2453559.4021	9.2	ZSI	
GO CYG	2453559.4028	8.5	ZSI	
R CRB	2453580.3291	6.1	ZSI	
ZZ BOO	2453580.3298	6.9	ZSI	
V BOO	2453580.3333	7.9	ZSI	
U CRB	2453580.3347	7.6	ZSI	
T UMA	2453580.3381	8.2	ZSI	
Z UMA	2453580.3395	8.2	ZSI	
X CYG	2453580.3409	6	ZSI	
V568 CYG	2453580.3423	6.5	ZSI	
GO CYG	2453580.3430	8.6	ZSI	
AF CYG	2453580.3444	7.6	ZSI	
RR LYR	2453580.3451	8	ZSI	
CH CYG	2453580.3472	7.9	ZSI	
R CYG	2453580.3493	8.8	ZSI	
RS CYG	2453580.3513	7.4	ZSI	
P CYG	2453580.3520	4.9	ZSI	
MY CYG	2453580.3534	8.3	ZSI	
W CYG	2453580.3548	6.5	ZSI	
V1339 CYG	2453580.3555	6.4	ZSI	
AR LAC	2453580.3569	6.2	ZSI	
NSV 25832	2453580.3576	8.9	ZSI	
Y CYG	2453580.3597	7.7	ZSI	
R SCT	2453580.3618	5.2	ZSI	
R LYR	2453580.3631	4.3	ZSI	
BETA LYR	2453580.3638	3.5	ZSI	
AI DRA	2453580.3659	7.1	ZSI	
T VUL	2453580.3673	5.9	ZSI	
Z VUL	2453580.3680	7.3	ZSI	
V VUL	2453580.3694	8.5	ZSI	
GO CYG	2453580.3708	8.5	ZSI	
DM DEL	2453580.3715	8.6	ZSI	
T CEP	2453580.3750	7.8	ZSI	
DELTA CEP	2453580.3763	3.6	ZSI	
Z LAC	2453580.3770	8.4	ZSI	
RR LAC	2453580.3777	9.2	ZSI	
X LAC	2453580.3791	8.5	ZSI	
V LAC	2453580.3798	9.1	ZSI	
Y CYG	2453580.3805	7.7	ZSI	
U DEL	2453580.3812	6.3	ZSI	
EU DEL	2453580.3819	6.4	ZSI	
S SGE	2453580.3840	6	ZSI	
RS VUL	2453580.3847	6.9	ZSI	
U VUL	2453580.3854	7.3	ZSI	
X VUL	2453580.3909	9	ZSI	
S EQU	2453580.3923	8.1	ZSI	
RZ CAS	2453580.3930	6.3	ZSI	
SU CAS	2453580.3937	5.9	ZSI	
TU CAS	2453580.3944	7.3	ZSI	
TV CAS	2453580.3951	7.3	ZSI	
R CAS	2453580.3972	7.8	ZSI	
GO CYG	2453580.3986	8.4	ZSI	
Y CYG	2453580.3993	7.6	ZSI	
U SGE	2453580.4131	6.3	ZSI	
GO CYG	2453580.4159	8.4	ZSI	
R CRB	2453581.3416	5.9	ZSI	
X CYG	2453581.3430	6.2	ZSI	
BETA LYR	2453581.3444	3.5	ZSI	
DELTA CEP	2453581.3451	3.9	ZSI	
AI DRA	2453581.3458	7.1	ZSI	
GO CYG	2453581.3465	8.5	ZSI	
Y CYG	2453581.3472	7.2	ZSI	
MY CYG	2453581.3479	8.3	ZSI	
CHI CYG	2453581.3486	6	ZSI	
ETA AQL	2453581.3493	3.8	ZSI	
T VUL	2453581.3513	6.1	ZSI	
Z VUL	2453581.3520	7.3	ZSI	
DM DEL	2453581.3534	8.6	ZSI	
S EQU	2453581.3541	8	ZSI	
U CRB	2453581.3611	7.7	ZSI	
RZ CAS	2453581.3625	6.3	ZSI	
SU CAS	2453581.3631	6.1	ZSI	
TV CAS	2453581.3638	7.3	ZSI	
R CRB	2453584.3673	6	ZSI	
ZZ BOO	2453584.3687	6.8	ZSI	
AI DRA	2453584.3701	7.1	ZSI	
R SCT	2453584.3722	5.2	ZSI	
X CYG	2453584.3750	6.6	ZSI	
GO CYG	2453584.3756	8.5	ZSI	
CHI CYG	2453584.3770	6.2	ZSI	
BETA LYR	2453584.3777	4.2	ZSI	
DELTA CEP	2453584.3784	4.1	ZSI	
DM DEL	2453584.3791	8.6	ZSI	
S EQU	2453584.3798	8	ZSI	
TX DEL	2453584.3819	9.2	ZSI	
T VUL	2453584.3826	5.5	ZSI	
Z VUL	2453584.3833	7.3	ZSI	
X HER	2453584.3861	6.9	ZSI	
T UMA	2453584.3895	8.3	ZSI	
ETA AQL	2453584.3909	3.8	ZSI	
RZ CAS	2453584.3916	6.4	ZSI	
SU CAS	2453584.3923	6.2	ZSI	
TU CAS	2453584.3930	7.9	ZSI	
TV CAS	2453584.3937	7.3	ZSI	
S SGE	2453584.3944	5.2	ZSI	
U SGE	2453584.3951	6.3	ZSI	
Z LAC	2453584.4013	8.5	ZSI	
RR LAC	2453584.4013	8.3	ZSI	
SS CYG	2453591.3708	8.7	ZSI	
R CRB	2453591.3715	6	ZSI	
X CYG	2453591.3722	6.9	ZSI	
T VUL	2453591.3729	5.8	ZSI	
GO CYG	2453591.3736	8.4	ZSI	
Z VUL	2453591.3743	7.4	ZSI	
RS VUL	2453591.3750	6.8	ZSI	
U SGE	2453591.3756	6.3	ZSI	
BETA LYR	2453591.3763	3.7	ZSI	
CHI CYG	2453591.3777	6.3	ZSI	
S SGE	2453591.3819	5.8	ZSI	
EE PEG	2453591.3826	6.8	ZSI	
ETA AQL	2453591.3833	3.6	ZSI	
R SCT	2453591.3847	5.5	ZSI	
U DEL	2453591.3854	6.6	ZSI	
EU DEL	2453591.3861	6.3	ZSI	
S SCT	2453591.4027	7.3	ZSI	
S EQU	2453591.4034	8	ZSI	
TX DEL	2453591.4041	9.1	ZSI	
GO CYG	2453591.4062	8.5	ZSI	
GO CYG	2453591.4680	8.6	ZSI	
R CRB	2453603.3312	5.9	ZSI	
AI DRA	2453603.3319	7	ZSI	
BETA LYR	2453603.3326	3.8	ZSI	
X CYG	2453603.3340	6.7	ZSI	
CHI CYG	2453603.3361	7.3	ZSI	
AF CYG	2453603.3368	7.7	ZSI	
CH CYG	2453603.3381	7.8	ZSI	
RR LYR	2453603.3395	7.9	ZSI	
DELTA CEP	2453603.3402	4	ZSI	
Z VUL	2453603.3409	7.3	ZSI	
U SGE	2453603.3416	6.4	ZSI	
T VUL	2453603.3423	6	ZSI	
R SCT	2453603.3458	5.7	ZSI	
RZ CAS	2453603.3645	6.4	ZSI	
SU CAS	2453603.3652	6.2	ZSI	
TU CAS	2453603.3659	7.5	ZSI	
TV CAS	2453603.3666	7.3	ZSI	
T CEP	2453603.3680	7.1	ZSI	
BETA LYR	2453611.3222	3.8	ZSI	
BETA LYR	2453612.2909	3.6	ZSI	
X CYG	2453612.2930	6	ZSI	
GO CYG	2453612.2937	8.6	ZSI	
CHI CYG	2453612.2958	7.9	ZSI	
ETA AQL	2453612.2965	3.8	ZSI	
T VUL	2453612.2979	5.9	ZSI	
DELTA CEP	2453612.3006	3.3	ZSI	
RZ CAS	2453612.3020	6.3	ZSI	
SU CAS	2453612.3027	6.3	ZSI	
TU CAS	2453612.3034	7.5	ZSI	
TV CAS	2453612.3041	7.3	ZSI	
T CEP	2453612.3062	7.3	ZSI	
R CRB	2453612.3270	5.9	ZSI	
U SGE	2453612.3284	6.3	ZSI	
ZZ BOO	2453613.2951	6.7	ZSI	
R CRB	2453613.2958	6	ZSI	
S CRB	2453613.2965	7.8	ZSI	
U CRB	2453613.2972	7.7	ZSI	
AC HER	2453613.3055	7.6	ZSI	
Y CYG	2453613.3069	7.6	ZSI	
SS CYG	2453613.3097	12.1	ZSI	
RZ CAS	2453613.3111	7	ZSI	
X CYG	2453613.3125	6	ZSI	
V568 CYG	2453613.3131	6.5	ZSI	
GO CYG	2453613.3145	8.4	ZSI	
MY CYG	2453613.3166	8.4	ZSI	
AF CYG	2453613.3180	7.7	ZSI	
RR LYR	2453613.3187	7.7	ZSI	
CH CYG	2453613.3208	7.8	ZSI	
W CYG	2453613.3215	6.8	ZSI	
V1339 CYG	2453613.3222	6.6	ZSI	
ETA AQL	2453613.3229	4.1	ZSI	
AR LAC	2453613.3236	6.2	ZSI	
NSV 25832	2453613.3243	8.9	ZSI	
BETA LYR	2453613.3250	3.5	ZSI	
DELTA CEP	2453613.3256	3.6	ZSI	
S EQU	2453613.3263	8	ZSI	
TX DEL	2453613.3270	9	ZSI	
RZ CAS	2453613.3284	7.1	ZSI	
U DEL	2453613.3326	6.9	ZSI	
EU DEL	2453613.3333	6.2	ZSI	
Y CYG	2453613.3354	7.8	ZSI	
Y OPH	2453613.3381	6.4	ZSI	
T VUL	2453613.3402	6.1	ZSI	
GO CYG	2453613.3416	8.5	ZSI	
S SGE	2453613.3430	5.7	ZSI	
RZ CAS	2453613.3444	7.3	ZSI	
TU CAS	2453613.3479	8.3	ZSI	
TV CAS	2453613.3486	7.3	ZSI	
EG AND	2453613.3527	7.4	ZSI	
Y CYG	2453613.3534	7.9	ZSI	
GO CYG	2453613.3562	8.6	ZSI	
RR LYR	2453613.3569	7.5	ZSI	
RZ CAS	2453613.3597	7.5	ZSI	
Z LAC	2453613.3618	9	ZSI	
RR LAC	2453613.3631	8.8	ZSI	
GL LAC	2453613.3659	8.7	ZSI	
X LAC	2453613.3666	8.6	ZSI	
V LAC	2453613.3736	8.7	ZSI	
RZ CAS	2453613.3763	7.2	ZSI	
Y CYG	2453613.3805	7.8	ZSI	
GO CYG	2453613.3812	8.6	ZSI	
MY CYG	2453613.3875	8.3	ZSI	
GO CYG	2453613.3909	8.5	ZSI	
RZ CAS	2453613.3916	6.9	ZSI	
RR LYR	2453613.3923	7.3	ZSI	
Y CYG	2453613.3972	7.6	ZSI	
RZ CAS	2453613.4076	6.6	ZSI	
GO CYG	2453613.4097	8.4	ZSI	
Y CYG	2453613.4131	7.5	ZSI	
RZ CAS	2453613.4180	6.4	ZSI	
BETA LYR	2453614.2902	3.4	ZSI	
DELTA CEP	2453614.2909	4	ZSI	
Z UMA	2453614.3694	7.4	ZSI	
BETA LYR	2453615.2805	3.6	ZSI	
DELTA CEP	2453615.2812	4.1	ZSI	
ETA AQL	2453615.2826	4.4	ZSI	
R CRB	2453615.2868	6	ZSI	
X CYG	2453615.2895	6.4	ZSI	
GO CYG	2453615.2902	8.4	ZSI	
S EQU	2453615.2979	9	ZSI	
R SCT	2453615.3062	5.7	ZSI	
Z VUL	2453615.3090	7.3	ZSI	
MY CYG	2453615.3097	8.3	ZSI	
R LYR	2453615.3104	4.6	ZSI	
Z LAC	2453615.3111	8.1	ZSI	
RR LAC	2453615.3118	8.7	ZSI	
X LAC	2453615.3125	8.5	ZSI	
V LAC	2453615.3131	9.1	ZSI	
GL LAC	2453615.3138	8.6	ZSI	
RZ CAS	2453615.3145	6.3	ZSI	
SU CAS	2453615.3152	6.2	ZSI	
TU CAS	2453615.3159	8	ZSI	
TV CAS	2453615.3166	7.3	ZSI	
S SGE	2453615.3173	5.7	ZSI	
BETA PER	2453615.5729	3.2	ZSI	
BETA PER	2453615.5840	3.1	ZSI	
BETA PER	2453615.5958	2.9	ZSI	
BETA PER	2453615.6180	2.6	ZSI	
R SCT	2453619.2881	5.9	ZSI	
S CRB	2453619.2888	7.5	ZSI	
U CRB	2453619.2895	7.8	ZSI	
R CRB	2453619.2902	6.1	ZSI	
CM LAC	2453619.2986	8.8	ZSI	
AR LAC	2453619.3000	6.1	ZSI	
RT LAC	2453619.3020	9.1	ZSI	
BG LAC	2453619.3034	8.7	ZSI	
X CYG	2453619.3055	7	ZSI	
GO CYG	2453619.3062	8.5	ZSI	
BETA LYR	2453619.3069	3.4	ZSI	
DELTA CEP	2453619.3076	3.9	ZSI	
Z LAC	2453619.3104	8.8	ZSI	
RR LAC	2453619.3111	9	ZSI	
X LAC	2453619.3118	8.4	ZSI	
V LAC	2453619.3131	9.1	ZSI	
GL LAC	2453619.3138	8.6	ZSI	
ETA AQL	2453619.3152	3.9	ZSI	
U SGE	2453619.3159	6.3	ZSI	
Z VUL	2453619.3166	7.3	ZSI	
S SGE	2453619.3173	5.3	ZSI	
MY CYG	2453619.3180	8.3	ZSI	
T VUL	2453619.3187	5.6	ZSI	
AF CYG	2453619.3194	7.4	ZSI	
CH CYG	2453619.3201	7.9	ZSI	
RR LYR	2453619.3208	7.8	ZSI	
CHI CYG	2453619.3222	8.1	ZSI	
RS CYG	2453619.3236	7.5	ZSI	
CM LAC	2453619.3256	8.5	ZSI	
GO CYG	2453619.3270	8.4	ZSI	
W CYG	2453619.3277	6.8	ZSI	
NSV 25832	2453619.3284	9	ZSI	
EE PEG	2453619.3305	7.4	ZSI	
RZ CAS	2453619.3312	7.7	ZSI	
SU CAS	2453619.3319	6.1	ZSI	
TU CAS	2453619.3326	8.1	ZSI	
TV CAS	2453619.3333	7.4	ZSI	
T CEP	2453619.3368	7	ZSI	
DM DEL	2453619.3375	8.6	ZSI	
S EQU	2453619.3381	8	ZSI	
TX DEL	2453619.3388	9.2	ZSI	
CM LAC	2453619.3395	8.3	ZSI	
GO CYG	2453619.3416	8.5	ZSI	
RZ CAS	2453619.3451	7.5	ZSI	
V VUL	2453619.3465	8.5	ZSI	
Z UMA	2453619.3472	7.4	ZSI	
X HER	2453619.3486	7	ZSI	
EE PEG	2453619.3500	7.5	ZSI	
U DEL	2453619.3534	7	ZSI	
EU DEL	2453619.3541	6.4	ZSI	
CM LAC	2453619.3548	8.2	ZSI	
RZ CAS	2453619.3597	7	ZSI	
TV PSC	2453619.3631	5	ZSI	
TX PSC	2453619.3645	5.5	ZSI	
EE PEG	2453619.3687	7.4	ZSI	
CM LAC	2453619.3701	8.2	ZSI	
RZ CAS	2453619.3708	6.8	ZSI	
BETA PEG	2453619.3715	2.7	ZSI	
GAMMA CAS	2453619.3722	2.3	ZSI	
RHO CAS	2453619.3729	4.6	ZSI	
GO CYG	2453619.3743	8.5	ZSI	
R LYR	2453619.3770	4.5	ZSI	
EG AND	2453619.3777	7.4	ZSI	
AI DRA	2453619.3791	7.1	ZSI	
EE PEG	2453619.3812	7.4	ZSI	
RZ CAS	2453619.3840	6.6	ZSI	
GO CYG	2453619.3868	8.6	ZSI	
EE PEG	2453619.3986	7.3	ZSI	
GO CYG	2453619.3993	8.7	ZSI	
RZ CAS	2453619.4006	6.4	ZSI	
VV CEP	2453619.4020	5.3	ZSI	
MIU CEP	2453619.4027	4	ZSI	
R ARI	2453619.4069	9.2	ZSI	
GO CYG	2453619.4097	8.8	ZSI	
RZ CAS	2453619.4118	6.4	ZSI	
EE PEG	2453619.4187	7.3	ZSI	
GO CYG	2453619.4208	8.9	ZSI	
BU TAU	2453619.4236	5.1	ZSI	
RZ CAS	2453619.4243	6.3	ZSI	
GO CYG	2453619.4319	9	ZSI	
Y CYG	2453619.4326	7.1	ZSI	
RR LYR	2453619.4333	8	ZSI	
EE PEG	2453619.4368	7.2	ZSI	
BETA PER	2453619.4395	2.1	ZSI	
RHO PER	2453619.4402	3.4	ZSI	
GO CYG	2453619.4430	9	ZSI	
OMI CET	2453619.4479	7.3	ZSI	
SS CYG	2453620.2944	9.9	ZSI	
R CRB	2453620.2972	6	ZSI	
AI DRA	2453620.2979	7.2	ZSI	
Y OPH	2453620.3006	6.1	ZSI	
U OPH	2453620.3027	5.9	ZSI	
BETA LYR	2453620.3034	3.4	ZSI	
DELTA CEP	2453620.3041	4	ZSI	
X CYG	2453620.3048	7	ZSI	
GO CYG	2453620.3055	8.4	ZSI	
T VUL	2453620.3062	5.9	ZSI	
Z VUL	2453620.3069	7.3	ZSI	
U SGE	2453620.3076	6.3	ZSI	
S SGE	2453620.3083	5.6	ZSI	
ETA AQL	2453620.3090	4.2	ZSI	
EE PEG	2453620.3097	6.9	ZSI	
S EQU	2453620.3104	8	ZSI	
TX DEL	2453620.3111	9.4	ZSI	
Z LAC	2453620.3118	9	ZSI	
RR LAC	2453620.3125	8.3	ZSI	
X LAC	2453620.3131	8.6	ZSI	
V LAC	2453620.3145	9.2	ZSI	
GL LAC	2453620.3152	8.6	ZSI	
AR LAC	2453620.3166	6.2	ZSI	
CM LAC	2453620.3173	8.2	ZSI	
BG LAC	2453620.3180	8.9	ZSI	
RT LAC	2453620.3187	9.2	ZSI	
Y CYG	2453620.3194	7.1	ZSI	
MY CYG	2453620.3201	8.3	ZSI	
RR LYR	2453620.3208	7.9	ZSI	
SS CYG	2453620.3215	9.6	ZSI	
RZ CAS	2453620.3222	6.3	ZSI	
SU CAS	2453620.3229	6.2	ZSI	
TU CAS	2453620.3236	7.9	ZSI	
TV CAS	2453620.3243	7.3	ZSI	
DM DEL	2453620.3513	8.9	ZSI	
SS CYG	2453620.3555	9.4	ZSI	
