GWIAZDA	jd	mag	idobs	kom
TU CAS	2453292.2715	8.1	ZSI	
RZ CAS	2453292.2722	6.3	ZSI	
SU CAS	2453292.2729	6.1	ZSI	
EE PEG	2453292.2757	6.8	ZSI	
R ARI	2453292.2854	9	ZSI	
AG PEG	2453292.2889	8.4	ZSI	
R SCT	2453297.2292	5.5	ZSI	
R LYR	2453297.2299	4.2	ZSI	
BETA LYR	2453297.2306	3.4	ZSI	
ETA AQL	2453297.2313	3.6	ZSI	
AI DRA	2453297.2410	7.1	ZSI	
X CYG	2453297.2431	7.1	ZSI	
V568 CYG	2453297.2445	6.5	ZSI	
T VUL	2453297.2465	5.8	ZSI	
S EQU	2453297.2479	8	ZSI	
Z VUL	2453297.2493	7.3	ZSI	
U VUL	2453297.2500	7.5	ZSI	
DELTA CEP	2453297.2528	3.7	ZSI	
BETA PER	2453297.2535	3.3	ZSI	
S SCT	2453297.2556	7.2	ZSI	
AG PEG	2453297.2576	8.4	ZSI	
EE PEG	2453297.2583	6.9	ZSI	
T CEP	2453297.2632	5.5	ZSI	
XZ CEP	2453297.2660	8.6	ZSI	
Z LAC	2453297.2681	8.7	ZSI	
X LAC	2453297.2694	8.6	ZSI	
V LAC	2453297.2701	9.3	ZSI	
AF CYG	2453297.2729	7.8	ZSI	
RR LYR	2453297.2743	7.9	ZSI	
RZ CAS	2453297.2750	6.4	ZSI	
SU CAS	2453297.2757	6.2	ZSI	
TU CAS	2453297.2778	8.2	ZSI	
TV CAS	2453297.2785	7.3	ZSI	
BETA PER	2453297.2792	3.3	ZSI	
CH CYG	2453297.2826	7.7	ZSI	
R ARI	2453297.2854	9.2	ZSI	
U DEL	2453297.3028	6.6	ZSI	
EU DEL	2453297.3042	6.4	ZSI	
KP DEL	2453297.3063	8.8	ZSI	
S SGE	2453297.3090	6	ZSI	
BETA PER	2453297.3104	3.2	ZSI	
BETA LYR	2453299.2597	4	ZSI	
ETA AQL	2453299.2604	4.1	ZSI	
AC HER	2453299.2618	8.1	ZSI	
AI DRA	2453299.2625	7.1	ZSI	
RR LYR	2453299.2639	7.9	ZSI	
Z VUL	2453299.2646	7.3	ZSI	
S EQU	2453299.2653	8	ZSI	
R SCT	2453299.2665	5.6	ZSI	
X SGE	2453299.2674	8.7	ZSI	
S SGE	2453299.2688	5.3	ZSI	
T VUL	2453299.2708	5.4	ZSI	
U VUL	2453299.2729	7.6	ZSI	
RS VUL	2453299.2750	6.9	ZSI	
TV PSC	2453299.2764	5.2	ZSI	
EE PEG	2453299.2771	6.8	ZSI	
BETA PER	2453299.2778	2.1	ZSI	
DELTA CEP	2453299.2785	4.1	ZSI	
X CYG	2453299.2806	7.1	ZSI	
V367 CYG	2453299.2819	7.4	ZSI	
W CYG	2453299.2833	6.2	ZSI	
V1339 CYG	2453299.2847	6.3	ZSI	
Z LAC	2453299.2903	8.1	ZSI	
X LAC	2453299.2917	8.6	ZSI	
V LAC	2453299.2924	8.8	ZSI	
XZ CEP	2453299.2944	8.5	ZSI	
RZ CAS	2453299.2951	6.3	ZSI	
SU CAS	2453299.2958	5.9	ZSI	
TV CAS	2453299.2979	7.9	ZSI	
TU CAS	2453299.2986	8.3	ZSI	
V CAS	2453299.3028	7.8	ZSI	
EG AND	2453299.3042	7.5	ZSI	
R ARI	2453299.3063	9.2	ZSI	
Z VUL	2453313.2090	7.3	ZSI	
RS VUL	2453313.2097	6.8	ZSI	
BETA LYR	2453313.2104	3.7	ZSI	
BETA PER	2453313.2111	2.1	ZSI	
DELTA CEP	2453313.2118	4	ZSI	
S EQU	2453313.2132	8	ZSI	
T VUL	2453313.2139	5.5	ZSI	
X SGE	2453313.2153	8.7	ZSI	
U VUL	2453313.2167	7.4	ZSI	
S SGE	2453313.2174	6	ZSI	
ETA AQL	2453313.2188	4.2	ZSI	
R LYR	2453313.2201	4.1	ZSI	
X CYG	2453313.2215	7.1	ZSI	
V568 CYG	2453313.2229	6.4	ZSI	
RR LYR	2453313.2250	7.7	ZSI	
AF CYG	2453313.2271	7.8	ZSI	
RT CYG	2453313.2319	7.1	ZSI	
CH CYG	2453313.2333	7.9	ZSI	
W CYG	2453313.2375	6.4	ZSI	
V1339 CYG	2453313.2389	6.5	ZSI	
U DEL	2453313.2417	6.7	ZSI	
EU DEL	2453313.2424	6.5	ZSI	
T CEP	2453313.2458	6.1	ZSI	
Z LAC	2453313.2472	8.5	ZSI	
X LAC	2453313.2479	8.7	ZSI	
V LAC	2453313.2486	9	ZSI	
RZ CAS	2453313.2500	6.7	ZSI	
SU CAS	2453313.2507	6.2	ZSI	
TV CAS	2453313.2514	7.3	ZSI	
TU CAS	2453313.2521	7.7	ZSI	
V CAS	2453313.2556	8.8	ZSI	
EG AND	2453313.2576	7.6	ZSI	
R ARI	2453313.2590	9.5	ZSI	:
EE PEG	2453313.2604	6.9	ZSI	
AG PEG	2453313.2639	8.3	ZSI	
BU TAU	2453313.2743	5.2	ZSI	
OMI CET	2453313.2826	8.1	ZSI	
RZ CAS	2453313.2854	7.1	ZSI	
TU CAS	2453314.2570	8.1	ZSI	
RS VUL	2453314.2590	6.8	ZSI	
Z VUL	2453314.2597	7.4	ZSI	
S SGE	2453314.2604	5.9	ZSI	
ETA AQL	2453314.2611	4.3	ZSI	
BETA LYR	2453314.2618	3.6	ZSI	
S EQU	2453314.2632	8.1	ZSI	
T VUL	2453314.2639	5.8	ZSI	
U VUL	2453314.2646	7.5	ZSI	
AI DRA	2453314.2660	7.1	ZSI	
BETA PER	2453314.2674	2.2	ZSI	
DELTA CEP	2453314.2674	4.2	ZSI	
Z LAC	2453314.2701	8.9	ZSI	
X LAC	2453314.2708	9	ZSI	
V LAC	2453314.2715	8.9	ZSI	
RZ CAS	2453314.2722	6.3	ZSI	
SU CAS	2453314.2729	6.3	ZSI	
TV CAS	2453314.2736	7.3	ZSI	
X CYG	2453314.2757	7.2	ZSI	
TV PSC	2453314.2861	4.9	ZSI	
RR LYR	2453314.2875	7.8	ZSI	
ETA AQL	2453319.2208	4	ZSI	
BETA LYR	2453319.2215	3.8	ZSI	
RR LYR	2453319.2236	7.5	ZSI	
R LYR	2453319.2243	4.3	ZSI	
RS VUL	2453319.2250	6.9	ZSI	
Z VUL	2453319.2257	7.4	ZSI	
S EQU	2453319.2264	8	ZSI	
T VUL	2453319.2292	6	ZSI	
V VUL	2453319.2319	8.5	ZSI	
S SGE	2453319.2333	5.8	ZSI	
U VUL	2453319.2361	7.6	ZSI	
EE PEG	2453319.2368	6.8	ZSI	
XZ CEP	2453319.2403	8.7	ZSI	
T CEP	2453319.2424	6.3	ZSI	
BETA PER	2453319.2431	2.1	ZSI	
DELTA CEP	2453319.2438	3.7	ZSI	
TV PSC	2453319.2479	5	ZSI	
Z LAC	2453319.2507	8.6	ZSI	
X LAC	2453319.2528	8.6	ZSI	
V LAC	2453319.2535	8.8	ZSI	
X CYG	2453319.2583	6	ZSI	
V568 CYG	2453319.2597	6.6	ZSI	
AI DRA	2453319.2611	7.1	ZSI	
AF CYG	2453319.2639	7.6	ZSI	
CH CYG	2453319.2646	7.7	ZSI	
RT CYG	2453319.2708	6.9	ZSI	
P CYG	2453319.2715	5	ZSI	
RS CYG	2453319.2729	8.3	ZSI	
TV CAS	2453319.2750	7.3	ZSI	
RZ CAS	2453319.2757	6.3	ZSI	
SU CAS	2453319.2764	6.2	ZSI	
TU CAS	2453319.2778	7.5	ZSI	
V1339 CYG	2453319.2838	6.7	ZSI	
OMI CET	2453319.2847	8.3	ZSI	
KP DEL	2453319.2875	8.6	ZSI	
BU TAU	2453319.2889	5.3	ZSI	
W CYG	2453319.2931	6.5	ZSI	
RHO PER	2453319.2951	3.5	ZSI	
RR LYR	2453319.2958	7.6	ZSI	
ETA GEM	2453319.3521	3.5	ZSI	
RS VUL	2453340.2146	6.9	ZSI	
Z VUL	2453340.2153	7.3	ZSI	
X SGE	2453340.2174	8.9	ZSI	
U VUL	2453340.2181	7.5	ZSI	
S SGE	2453340.2208	5.2	ZSI	
RR LYR	2453340.2215	7.7	ZSI	
BETA LYR	2453340.2222	3.6	ZSI	
BETA PER	2453340.2229	2.9	ZSI	
T VUL	2453340.2250	5.6	ZSI	
V VUL	2453340.2264	8.9	ZSI	
U DEL	2453340.2271	6.8	ZSI	
EU DEL	2453340.2278	6.3	ZSI	
S EQU	2453340.2285	8	ZSI	
X CYG	2453340.2313	6.6	ZSI	
V568 CYG	2453340.2319	6.4	ZSI	
GO CYG	2453340.2333	8.7	ZSI	
Y CYG	2453340.2347	7.1	ZSI	
V367 CYG	2453340.2361	7.4	ZSI	
R LYR	2453340.2375	4.4	ZSI	
W CYG	2453340.2389	6.5	ZSI	
V1339 CYG	2453340.2396	6.4	ZSI	
SS CYG	2453340.2410	8.9	ZSI	
P CYG	2453340.2444	4.9	ZSI	
RS CYG	2453340.2451	8.6	ZSI	
RT CYG	2453340.2465	7.2	ZSI	
CH CYG	2453340.2493	8.1	ZSI	
AF CYG	2453340.2500	7	ZSI	
BETA PER	2453340.2507	3.1	ZSI	
RHO PER	2453340.2514	3.4	ZSI	
BETA PER	2453347.1889	2	ZSI	
BETA LYR	2453347.1896	3.4	ZSI	
Z VUL	2453347.1931	7.3	ZSI	
RS VUL	2453347.1944	7.4	ZSI	
S EQU	2453347.1951	8.1	ZSI	
U VUL	2453347.1979	6.9	ZSI	
S SGE	2453347.1993	6	ZSI	
X SGE	2453347.2000	8.8	ZSI	
AI DRA	2453347.2014	7.1	ZSI	
DELTA CEP	2453347.2021	4.2	ZSI	
X CYG	2453347.2035	7	ZSI	
V568 CYG	2453347.2042	6.6	ZSI	
GO CYG	2453347.2049	8.5	ZSI	
Y CYG	2453347.2063	7.2	ZSI	
V367 CYG	2453347.2083	7.6	ZSI	
W CYG	2453347.2097	6.5	ZSI	
V1339 CYG	2453347.2104	6.4	ZSI	
T VUL	2453347.2139	5.9	ZSI	
V VUL	2453347.2153	8.6	ZSI	
R LYR	2453347.2181	4.4	ZSI	
RR LYR	2453347.2188	7.8	ZSI	
KP DEL	2453347.2194	8.5	ZSI	
U DEL	2453347.2201	6.6	ZSI	
EU DEL	2453347.2208	6.2	ZSI	
AF CYG	2453347.2222	7	ZSI	
CH CYG	2453347.2229	8.3	ZSI	
RT CYG	2453347.2264	7.3	ZSI	
P CYG	2453347.2285	5	ZSI	
T CEP	2453347.2361	7.2	ZSI	
VV CEP	2453347.2375	5.5	ZSI	
TV PSC	2453347.2403	5.2	ZSI	
EE PEG	2453347.2410	6.9	ZSI	
R PEG	2453347.2465	7.8	ZSI	
TX PSC	2453347.2493	5.4	ZSI	
X PER	2453347.2528	6	ZSI	
OMI CET	2453347.2569	8.8	ZSI	
EG AND	2453347.2583	7.4	ZSI	
RZ CAS	2453347.2597	6.3	ZSI	
SU CAS	2453347.2604	6.2	ZSI	
TU CAS	2453347.2639	8.2	ZSI	
TV CAS	2453347.2646	7.3	ZSI	
BU TAU	2453347.2674	5	ZSI	
RX AUR	2453347.2694	7.6	ZSI	
EPS AUR	2453347.2708	3	ZSI	
